16,0,0
12,7,8
16,1,1
15,3,5
12,10,4
14,1,8
10,9,9
10,10,8
16,3,0
15,5,4
11,11,5
14,6,6
14,8,3
15,3,6
16,0,4
16,4,1
12,3,11
15,7,1
16,4,2
14,9,0
15,2,7
12,10,6
16,4,3
13,7,8
15,3,7
16,5,2
15,6,5
12,12,0
12,8,9
15,7,4
17,1,1
16,6,0
14,4,9
17,2,1
16,6,2
14,1,10
15,8,3
15,7,5
14,10,2
16,6,3
14,5,9
12,12,4
14,10,3
13,11,4
15,9,1
12,8,10
16,7,2
15,2,9
14,10,4
14,6,9
16,7,3
17,5,1
13,12,2
13,7,10
16,0,8
16,8,1
15,9,4
17,5,3
16,8,2
15,8,6
15,1,10
18,0,2
13,4,12
16,5,7
15,5,9
18,2,2
14,4,11
17,6,3
16,4,8
18,2,3
16,1,9
17,7,1
14,0,12
18,1,4
14,5,11
14,2,12
14,7,10
12,11,9
17,7,3
13,6,12
15,10,5
12,12,8
17,0,8
16,7,7
15,3,11
16,6,8
16,10,1
18,5,3
16,10,2
18,1,6
16,9,5
17,7,5
18,2,6
14,12,5
14,11,7
16,8,7
15,9,8
17,1,9
16,4,10
16,9,6
15,7,10
14,12,6
13,12,8
17,8,5
19,3,3
16,10,5
18,7,3
16,8,8
15,4,12
16,3,11
13,13,7
12,12,10
14,7,12
13,11,10
18,8,2
14,14,1
15,12,5
17,9,5
14,14,2
19,0,6
17,3,10
16,12,0
16,8,9
16,11,5
15,3,13
20,2,0
15,6,12
19,6,3
20,2,2
18,6,7
15,8,11
17,11,1
16,6,11
17,10,5
20,4,0
14,10,11
15,7,12
17,11,3
16,10,8
14,12,9
19,6,5
18,8,6
18,10,1
16,13,1
15,9,11
18,2,10
16,13,2
15,6,13
12,12,12
15,12,8
19,8,3
19,5,7
20,0,6
18,7,8
17,10,7
18,10,4
19,4,8
17,3,12
21,1,1
20,3,6
14,9,13
18,11,2
16,5,13
21,1,3
20,6,4
16,14,1
18,7,9
16,10,10
15,14,6
20,3,7
19,7,7
18,6,10
20,5,6
19,10,1
16,12,8
20,8,1
21,4,3
19,9,5
16,14,4
18,1,12
18,11,5
18,12,2
20,8,3
16,13,7
21,3,5
19,4,10
21,1,6
20,4,8
21,6,2
13,13,12
19,1,11
14,12,12
17,0,14
19,11,2
16,6,14
17,2,14
20,9,3
19,9,7
14,14,10
21,6,4
18,1,13
20,9,4
16,11,11
15,15,7
16,10,12
22,1,4
21,6,5
20,2,10
18,10,9
16,15,5
13,13,13
14,12,13
17,14,5
16,16,0
20,8,7
17,12,9
17,1,15
16,8,14
20,6,9
17,15,2
18,14,0
17,14,6
20,11,1
17,15,3
18,14,2
20,10,5
18,11,9
16,16,4
18,3,14
19,5,12
23,1,1
18,12,8
17,10,12
17,14,7
18,4,14
16,16,5
21,4,9
23,3,1
21,8,6
18,7,13
16,12,12
18,10,11
20,11,5
21,5,9
22,8,0
20,7,10
18,1,15
22,2,8
18,15,2
23,4,3
19,13,5
22,6,6
18,8,13
19,1,14
20,12,4
17,16,4
16,9,15
23,3,5
20,8,10
23,0,6
21,11,2
18,12,10
18,7,14
17,16,5
21,11,3
20,13,2
18,5,15
24,0,0
17,12,12
17,8,15
23,5,5
18,0,16
23,6,4
19,14,5
22,0,10
24,3,0
24,1,3
19,15,1
14,14,14
18,3,16
22,5,9
24,0,4
18,10,13
16,13,13
19,3,15
20,14,0
20,14,1
21,11,6
22,4,10
24,5,0
16,11,15
23,7,5
20,14,3
22,11,1
20,12,8
22,5,10
21,5,12
19,13,9
20,14,4
18,8,15
23,2,9
24,2,6
18,17,2
19,1,16
21,3,13
22,6,10
16,13,14
21,10,9
20,15,0
24,7,1
23,7,7
22,0,12
20,15,2
23,1,10
20,6,14
23,10,2
20,3,15
21,5,13
22,3,12
25,3,2
24,0,8
24,7,4
20,11,11
21,9,11
20,12,10
17,16,10
23,6,9
18,18,0
24,3,8
16,15,13
19,17,1
18,18,2
21,4,14
22,7,11
16,16,12
19,14,10
24,1,9
23,11,3
20,8,14
24,9,2
21,14,5
22,12,6
23,6,10
25,5,4
19,15,9
22,13,4
21,2,15
20,4,16
18,18,5
20,15,7
15,15,15
24,10,0
22,7,12
17,17,10
24,2,10
17,14,14
24,9,5
21,11,11
18,18,6
21,10,12
21,14,7
20,12,12
20,17,0
20,11,13
21,15,5
26,0,4
18,12,15
18,17,9
26,4,2
24,11,0
21,1,16
17,17,11
19,4,18
26,1,5
24,8,8
25,4,8
20,9,15
19,15,11
26,4,4
22,9,12
19,5,18
24,6,10
20,13,12
19,17,8
25,3,9
18,14,14
26,4,5
22,15,3
24,12,0
26,6,3
23,12,7
23,13,5
20,0,18
20,15,10
26,1,7
26,4,6
18,18,9
19,12,15
21,13,11
21,6,16
23,13,6
24,4,12
